id,type,name,device_type,price,stock,created_at,updated_at
56,screens,اسكرينه غزاله,"rl C53 6.74"" 1080x2400",60,5,2024-10-04 18:31:14,2025-01-04 16:07:14
57,screens,اسكرينه غزاله,"rl C51 6.74"" 720x1600",60,5,2024-10-04 18:31:43,2025-01-04 16:06:46
58,screens,اسكرينه غزاله,"rl C30 6.5"" 720x1600",60,4,2024-10-04 18:32:52,2025-01-04 16:06:13
59,screens,اسكرينه غزاله,"rl C21 / C25 6.5"" 720x1600",60,5,2024-10-04 18:33:32,2025-01-04 16:05:41
60,screens,اسكرينه HD+,"rl C21 / C25 6.5"" 720x1600",40,3,2024-10-04 18:35:09,2025-01-04 16:05:21
61,screens,اسكرينه HD+,"rl C12 6.5"" 720x1560",40,4,2024-10-04 18:35:52,2025-01-04 16:04:49
62,screens,اسكرينه غزاله,"rl C11 / C15 6.5"" 720x1600",60,8,2024-10-04 18:36:31,2025-01-04 16:04:15
63,screens,اسكرينه غوريلا,"rl C11 / C15 6.5"" 720x1600",50,1,2024-10-04 18:37:45,2025-01-04 16:03:52
64,screens,اسكرينه HD+,"rl C11 /C15 6.5"" 720x1600",40,6,2024-10-04 18:38:27,2025-01-04 16:03:15
65,screens,اسكرينه HD+,"Mate10lite 5.9"" 1080x2160",40,4,2024-10-04 18:39:30,2025-01-04 16:02:39
66,screens,اسكرينه HD+,"P30lite 6.15"" 1080x2312",40,3,2024-10-04 18:40:17,2025-01-04 16:01:32
67,screens,اسكرينه غوريلا,"rl P20lite 5.84"" 1080x2280",50,1,2024-10-04 18:40:59,2025-01-04 16:00:54
68,screens,اسكرينه غزاله,"rl 9i 6.6"" 1080x2412",60,5,2024-10-04 18:41:28,2025-01-04 16:00:02
69,screens,اسكرينه غزاله,"rl 8pro 6.4"" 1080x2400",60,2,2024-10-04 18:42:06,2025-01-04 15:59:50
70,screens,اسكرينه HD+,"rl 8pro 6.4"" 1080x2400",40,1,2024-10-04 18:42:38,2025-01-04 15:59:24
71,screens,اسكرينه HD+,"rl 9i 6.6"" 1080x2412",40,3,2024-10-04 18:43:22,2025-01-04 15:58:17
72,screens,اسكرينه HD+,"rl 7pro 6.4"" 1080x2400",40,1,2024-10-04 18:44:13,2025-01-04 15:56:31
73,screens,اسكرينه HD+,"Huawei Novi 3i 6.3"" 1080x2340",40,5,2024-10-04 18:45:11,2025-01-04 15:55:23
74,screens,اسكرينه غزاله,"Huawei Novi9 6.57"" 1080x2340",60,1,2024-10-04 18:47:33,2025-01-04 15:54:22
75,screens,اسكرينه HD+,sam S7pro,40,2,2024-10-04 18:55:06,2024-10-04 18:55:06
76,screens,اسكرينه HD+,sam J4,40,1,2024-10-04 18:55:57,2024-10-04 18:55:57
77,screens,اسكرينه غزاله,sam G530,60,3,2024-10-04 18:57:09,2024-10-04 18:57:09
78,screens,اسكرينه HD+,sam G530,40,2,2024-10-04 18:57:57,2024-10-04 18:57:57
79,screens,اسكرينه HD+,sam 9082,40,4,2024-10-04 18:59:04,2024-10-04 18:59:04
80,screens,اسكرينه HD+,sam J2 core,40,7,2024-10-04 18:59:56,2024-10-04 18:59:56
81,screens,اسكرينه غزاله,"sam A70 6.7"" 1080x2400",60,3,2024-10-04 19:00:41,2025-01-04 15:53:16
82,screens,اسكرينه غزاله,"sam A71 6.7"" 1080x2400",60,5,2024-10-04 19:01:16,2025-01-04 15:53:01
83,screens,اسكرينه HD+,"sam A71 6.7"" 1080x2400",40,2,2024-10-04 19:01:41,2025-01-04 15:48:56
84,screens,اسكرينه غزاله,"sam M33 6.6"" 1080x2408",60,2,2024-10-04 19:02:18,2025-01-04 15:48:22
85,screens,اسكرينه HD+,"sam M61 / M62 6.7"" 1080x2400",40,3,2024-10-04 19:03:44,2025-01-04 15:47:46
86,screens,اسكرينه غزاله,"sam A71 6.7"" 1080x2400",60,1,2024-10-04 19:04:15,2025-01-04 15:46:27
87,screens,اسكرينه HD+,"sam A54 6.4"" 1080x2340",40,5,2024-10-04 19:05:03,2025-01-04 15:45:44
88,screens,اسكرينه HD+,"sam A20 / A30 / A50 6.4"" 1080x2340",40,5,2024-10-04 19:06:28,2025-01-04 15:45:12
89,screens,اسكرينه غزاله,"sam A23 6.6"" 1080x2408",60,5,2024-10-04 19:07:01,2025-01-04 15:44:36
90,screens,اسكرينه غزاله,"sam A24 6.5"" 1080x2340",60,3,2024-10-04 19:07:32,2025-01-04 15:44:22
91,screens,اسكرينه غزاله,"sam A34 6.6"" 1080x2340",60,5,2024-10-04 19:08:01,2025-01-04 15:44:07
92,screens,اسكرينه غزاله,"sam A21s  6.5"" 720x1600",60,5,2024-10-04 19:12:42,2025-01-04 15:43:51
93,screens,اسكرينه غزاله,"sam A05s 6.7"" 1080x2400",60,14,2024-10-04 19:14:06,2025-01-04 15:43:14
94,screens,اسكرينه غزاله,"sam A15 6.5"" 1080x2340",60,6,2024-10-04 19:15:01,2025-01-04 15:42:40
95,screens,اسكرينه غزاله,"sam A14 6.5"" 720x1600",60,5,2024-10-04 19:15:30,2025-01-04 15:42:08
96,screens,اسكرينه غزاله,"sam A13 6.6"" 1080x2408",60,0,2024-10-04 19:16:05,2025-01-04 15:41:53
97,screens,اسكرينه HD+,"sam A13 6.6"" 1080x2408",40,2,2024-10-04 19:16:50,2025-03-12 00:32:51
98,screens,اسكرينه غزاله,"sam A12 6.5"" 720x1600",60,6,2024-10-04 19:17:35,2025-01-04 15:40:31
99,screens,اسكرينه غزاله,"sam A10s / A10 6.2"" 720x1520",60,0,2024-10-04 19:18:03,2025-01-04 15:40:16
100,screens,اسكرينه غزاله,"sam A11 6.4"" 720x1560",60,3,2024-10-04 19:18:35,2025-01-04 15:39:45
101,screens,اسكرينه غزاله,"sam A10s / A10 6.2"" 720x1520",60,11,2024-10-04 19:19:40,2025-01-04 15:38:43
102,screens,اسكرينه غزاله,"sam A04s 6.4"" 720x1560",60,8,2024-10-04 19:20:18,2025-01-04 15:37:59
103,screens,اسكرينه غزاله,"sam A03s 6.5"" 720x1600",60,4,2024-10-04 19:20:49,2025-01-04 15:37:43
104,screens,اسكرينه غزاله,"sam A02s 6.5"" 720x1600",60,6,2024-10-04 19:21:21,2025-01-04 15:35:33
105,screens,اسكرينه غزاله,huawei y9s / y9 prime,60,1,2024-10-04 20:10:27,2024-11-12 20:23:44
106,screens,اسكرينه غزاله,"huawei y5 19 5.71"" 720x1520",60,1,2024-10-04 20:10:27,2025-01-04 15:34:52
107,screens,اسكرينه غزاله,"huawei y5 18 5.45"" 720x1440",60,2,2024-10-04 20:10:27,2025-01-04 15:34:16
108,screens,اسكرينه غزاله,"huawei y9 19 6.5"" 1080x2340",60,4,2024-10-04 20:10:27,2025-01-04 15:33:52
109,screens,اسكرينه غزاله,"huawei y6 19 6.09"" 720x1560",60,1,2024-10-04 20:10:27,2025-01-04 15:33:12
110,screens,اسكرينه غزاله,"huawei y8p 6.3"" 1080x2400",60,1,2024-10-04 20:10:27,2025-01-04 15:32:33
111,screens,اسكرينه غزاله,"huawei y7p 6.39"" 720x1560",60,1,2024-10-04 20:10:27,2025-01-04 15:32:19
112,screens,اسكرينه غزاله,"huawei y7 18 5.99"" 720x1440",60,3,2024-10-04 20:10:27,2025-01-04 15:32:01
121,screens,اسكرينه HD+,"huawei y5p 5.45"" 720x1440",60,1,2024-10-04 20:13:45,2025-01-04 15:31:46
122,screens,اسكرينه HD+,"huawei y7 18 5.99"" 720x1440",60,1,2024-10-04 20:13:45,2025-01-04 15:31:15
123,screens,اسكرينه HD+,"huawei y9 prime 6.59"" 1080x2340",60,2,2024-10-04 20:13:45,2025-01-04 15:30:34
124,screens,اسكرينه HD+,"huawei y5 18 5.45"" 720x1440",60,8,2024-10-04 20:13:45,2025-01-04 15:29:50
125,screens,اسكرينه HD+,"huawei y8p 6.3"" 1080x2400",60,1,2024-10-04 20:13:45,2025-01-04 15:29:07
126,screens,اسكرينه HD+,"huawei y7p 6.39"" 720x1560",60,1,2024-10-04 20:13:45,2025-01-04 15:28:35
127,screens,اسكرينه غوريلا,"infinx X629 6.6"" 720x1600",50,3,2024-10-04 20:33:36,2025-01-04 15:28:02
128,screens,اسكرينه غوريلا,"infinx X663 6.7"" 1080x2400",50,3,2024-10-04 20:33:36,2025-01-04 15:18:28
129,screens,اسكرينه غوريلا,"infinx X690 6.95"" 720x1640",50,4,2024-10-04 20:33:36,2025-01-04 15:17:48
130,screens,اسكرينه غوريلا,"infinx X688 6.82"" 720x1640",50,1,2024-10-04 20:33:36,2025-01-04 15:17:35
131,screens,اسكرينه غوريلا,"infinx X665 6.6"" 720x1612",50,3,2024-10-04 20:33:36,2025-01-04 15:16:41
132,screens,اسكرينه HD+,"infinx X559 5.5"" 720x1280",40,3,2024-10-04 20:33:58,2025-01-04 15:16:09
133,screens,اسكرينه HD+,"infinx X626 6.2"" 720x1520",40,5,2024-10-04 20:33:58,2025-01-04 15:14:46
134,screens,اسكرينه HD+,"infinx X636 6.18"" 1080x2246",40,3,2024-10-04 20:33:58,2025-01-04 15:13:52
135,screens,اسكرينه HD+,"infinx X606 6.0"" 720x1440",40,1,2024-10-04 20:33:58,2025-01-04 15:13:06
136,screens,اسكرينه HD+,"infinx X690 6.95"" 720x1640",40,3,2024-10-04 20:33:58,2025-01-04 15:11:25
137,screens,اسكرينه HD+,"infinx X680 6.82"" 720x1640",40,6,2024-10-04 20:33:58,2025-01-04 15:10:45
138,screens,اسكرينه HD+,"infinx X695 6.95"" 1080x2460",40,5,2024-10-04 20:33:58,2025-01-04 15:10:11
139,screens,اسكرينه HD+,"infinx X688 6.82"" 720x1640",40,3,2024-10-04 20:33:58,2025-01-04 15:09:32
140,screens,اسكرينه HD+,"infinx X683 6.95"" 720x1640",40,7,2024-10-04 20:33:58,2025-01-04 15:08:50
141,screens,اسكرينه HD+,"infinx X557 5.5"" 720x1280",40,4,2024-10-04 20:33:58,2025-01-04 15:07:41
142,screens,اسكرينه فامي,ip 6+/7+,50,3,2024-10-04 20:54:49,2024-10-04 20:54:49
143,screens,اسكرينه فامي,ip 12pro max,50,0,2024-10-04 20:54:49,2024-11-12 19:46:35
144,screens,اسكرينه غوريلا,ip 12pro max,50,3,2024-10-04 20:55:05,2024-10-04 20:55:05
145,screens,اسكرينه غوريلا,ip 7+,50,1,2024-10-04 20:55:05,2024-10-04 20:55:05
146,screens,اسكرينه غوريلا,ip 13pro max,50,7,2024-10-04 20:55:05,2024-10-04 20:55:05
147,screens,اسكرينه HD+,ip X /XS /11pro,40,4,2024-10-04 20:55:20,2024-10-25 16:41:13
148,screens,اسكرينه HD+,ip 14+,40,5,2024-10-04 20:55:20,2024-10-04 20:55:20
149,screens,اسكرينه HD+,ip 14pro,40,4,2024-10-04 20:55:20,2024-10-04 20:55:20
150,screens,اسكرينه HD+,ip 11pro max,40,0,2024-10-04 20:55:20,2024-11-12 19:45:40
151,screens,اسكرينه HD+,ip 12pro max,40,4,2024-10-04 20:55:20,2024-11-12 19:47:09
152,screens,اسكرينه غزاله,ip 7+/6+/8+,60,20,2024-10-04 20:55:33,2024-11-12 19:33:55
153,screens,اسكرينه غزاله,ip 7g/6g/8g,60,19,2024-10-04 20:55:33,2024-11-12 19:45:07
154,screens,اسكرينه غزاله,ip 11 /xr,60,0,2024-10-04 20:55:33,2024-10-25 16:42:10
155,screens,اسكرينه غزاله,ip X /XS /11pro,60,4,2024-10-04 20:55:33,2024-11-12 19:37:26
156,screens,اسكرينه غزاله,ip 11pro max,60,9,2024-10-04 20:55:33,2024-10-21 17:57:21
157,screens,اسكرينه غزاله,ip 13pro max,60,2,2024-10-04 20:55:33,2024-10-22 23:46:28
158,screens,اسكرينه غزاله,ip 15pro max,60,2,2024-10-04 20:55:33,2024-11-12 19:47:33
159,screens,اسكرينه غزاله,ip 12pro max,60,2,2024-10-04 20:55:33,2024-11-12 19:46:10
160,screens,اسكرينه في العلبه فامي توكيل,ip X/11pro,175,1,2024-10-04 21:44:40,2024-10-04 21:44:40
161,screens,اسكرينه في العلبه فامي توكيل,ip Xs max /11pro max,175,3,2024-10-04 21:44:40,2024-10-04 21:44:40
162,screens,اسكرينه في العلبه فامي توكيل,ip 12pro max,175,0,2024-10-04 21:44:40,2024-11-13 00:01:00
163,screens,اسكرينه في العلبه فامي توكيل,ip 13 /13pro /14,175,2,2024-10-04 21:44:40,2024-10-04 21:44:40
164,screens,اسكرينه في العلبه فامي توكيل,ip 14 pro,175,2,2024-10-04 21:44:40,2024-10-04 21:44:40
165,screens,اسكرينه في العلبه فامي توكيل,ip 14 pro max,175,2,2024-10-04 21:44:40,2024-10-04 21:44:40
166,screens,اسكرينه في العلبه فامي توكيل,ip 15,175,2,2024-10-04 21:44:40,2024-10-04 21:44:40
167,screens,اسكرينه في العلبه فامي توكيل,ip 15 pro max,175,1,2024-10-04 21:44:40,2024-11-13 15:59:25
168,screens,اسكرينه في العلبه توكيل,ip X/11pro,175,2,2024-10-04 21:44:58,2024-10-04 21:44:58
169,screens,اسكرينه في العلبه توكيل,ip Xs max /11pro max,175,2,2024-10-04 21:44:58,2024-10-04 21:44:58
170,screens,اسكرينه في العلبه توكيل,ip 12 /12pro,175,1,2024-10-04 21:44:58,2024-10-27 13:33:13
171,screens,اسكرينه في العلبه توكيل,ip 12pro max,175,1,2024-10-04 21:44:58,2024-10-12 00:18:08
172,screens,اسكرينه في العلبه توكيل,ip 13 /13pro /14,175,2,2024-10-04 21:44:58,2024-10-04 21:44:58
173,screens,اسكرينه في العلبه توكيل,ip 13pro max /14 plas,175,1,2024-10-04 21:44:58,2024-11-13 00:04:43
174,screens,اسكرينه في العلبه توكيل,ip 14 pro,175,2,2024-10-04 21:44:58,2024-10-04 21:44:58
175,screens,اسكرينه في العلبه توكيل,ip 14 pro max,175,0,2024-10-04 21:44:58,2024-11-13 15:57:18
176,screens,اسكرينه في العلبه توكيل,ip 15,175,2,2024-10-04 21:44:58,2024-10-04 21:44:58
177,screens,اسكرينه في العلبه توكيل,ip 15 pro max,175,1,2024-10-04 21:44:58,2024-10-04 21:44:58
178,screens,اسكرينه في العلبه فامي توكيل,ip 13 pro max,175,2,2024-10-04 21:47:58,2024-10-04 21:47:58
179,screens,اسكرينه في العلبه فامي توكيل,ip 14 pro max,175,2,2024-10-04 21:47:58,2024-11-13 15:57:59
180,screens,اسكرينه في العلبه فامي مش توكيل,ip 13 pro,75,1,2024-10-04 21:49:45,2024-10-04 21:49:45
181,screens,اسكرينه في العلبه مش توكيل,ip 13 / 13 pro,75,4,2024-10-04 21:59:22,2024-10-25 15:29:13
182,screens,اسكرينه في العلبه مش توكيل,ip 12 pro max,75,4,2024-10-04 21:59:22,2024-10-04 21:59:22
183,screens,اسكرينه في العلبه مش توكيل,"y6 18 / honor7A 5.7"" 720x1440",75,5,2024-10-04 22:02:13,2025-01-04 15:06:14
184,screens,اسكرينه الخضره,"op A5 2020 6.5"" 720x1600",75,5,2024-10-05 15:54:38,2025-01-04 15:02:39
185,screens,اسكرينه الخضره,"rl 10 6.4"" 1080x2400",75,7,2024-10-05 15:56:56,2025-01-04 15:01:25
186,screens,اسكرينه الخضره,"op A52 6.5"" 1080x2400",75,7,2024-10-05 15:57:24,2025-01-04 14:46:45
187,screens,اسكرينه الخضره,"op A1K 6.1"" 720x1560",75,5,2024-10-05 15:58:24,2025-01-04 14:43:04
188,screens,اسكرينه الخضره,"rl C11 6.5"" 720x1560",75,3,2024-10-05 15:59:15,2025-01-04 14:41:31
189,screens,اسكرينه الخضره,"sam A10s 6.2"" 720x1520",75,1,2024-10-05 15:59:56,2025-01-04 14:36:33
190,screens,اسكرينه الخضره,"op A15 6.52"" 720x1600",75,2,2024-10-05 16:00:13,2025-01-04 14:36:04
191,screens,اسكرينه الخضره,"op F11 6.53"" 1080x2340",75,5,2024-10-05 16:00:38,2025-01-04 14:35:26
192,screens,اسكرينه الخضره,"auawei y7-18 5.99"" 720x1440",75,5,2024-10-05 16:02:04,2025-01-04 14:34:55
