"id","company","model","content","created_at","updated_at"
"68",,NULL,"كابل سوفت وير","2024-10-29 21:00:50","2024-10-29 21:00:50"
"69",,"ip 8+","تقطيع","2024-10-29 21:01:05","2024-10-29 21:01:05"
"70",,NULL,"بلجات","2024-10-29 21:01:21","2024-10-29 21:01:21"
"71",,"ايفون x max","بورد","2024-10-29 21:02:45","2024-10-29 21:02:45"
"72",,"y9 19","شاشه","2024-10-29 21:03:33","2024-10-29 21:03:33"
"73","SAMSUNG","نوت 3","ت","2024-10-29 21:04:23","2024-10-29 21:04:23"
"74",,"ش ردمي نوت4","ش a30s","2024-10-29 21:05:33","2024-10-29 21:05:33"
"75",,NULL,"كابل شحن","2024-10-29 21:06:06","2024-10-29 21:06:06"
"76",,"RENO2F","تقطيع","2024-10-29 21:06:48","2024-10-29 21:06:48"
"77",,"ip xr","تقطيع","2024-10-29 21:07:10","2024-10-29 21:07:10"
"78",,"ميت 10 ليت","شغال","2024-10-29 21:07:47","2024-10-29 21:07:47"
"79",,"ايفون","بورده تخريط","2024-10-29 21:08:18","2024-10-29 21:08:18"
"80",,"A51","شاشه","2024-10-29 21:08:45","2024-10-29 21:08:45"
"81",,"j7pro","جهاز كامل بدون شاشه","2024-10-29 21:09:46","2024-10-29 21:09:46"
"82",,"j730","فريم + سماعه + فيبراشن","2024-10-29 21:11:04","2024-10-29 21:11:04"
"83",,NULL,"كبلات سوفت","2024-10-29 21:11:42","2024-10-29 21:11:42"
"84",,NULL,"شاشه تجربه رينو3","2024-10-29 21:12:13","2024-10-29 21:12:13"
"85",,"هونر","شاشه هونر 50 للتجربه","2024-10-29 21:12:56","2024-10-29 21:12:56"
"86",,"شاشه رينو4","مكسوره","2024-10-29 21:49:49","2024-10-29 21:49:49"
"87",,"كابل","بور سبلاي","2024-10-29 21:50:46","2024-10-29 21:50:46"
"88",,"ايفون x","شاشه","2024-10-29 21:51:21","2024-10-29 21:51:21"
"89",,"y9 19","جهاز","2024-10-29 21:52:19","2024-10-29 21:52:19"
"90",,"a22","شاشه","2024-10-29 21:53:00","2024-10-29 21:53:00"
"91",,"a50","شاشه شغاله","2024-10-29 21:53:33","2024-10-29 21:53:33"
"92",,"ايفون x","هوسينج اصلي","2024-10-29 21:54:15","2024-10-29 21:54:15"
"93",,NULL,"جلد عدسا ميكرسكوب","2024-10-29 21:55:53","2024-10-29 21:55:53"
"94",,"ايفون xr","جهاز","2024-10-29 21:56:18","2024-10-29 21:56:18"
"95",,"بوكو x3pro","تقطيع","2024-10-29 21:57:06","2024-10-29 21:57:06"
"96",,"ايفون12","جهاز","2024-10-29 21:57:55","2024-10-29 21:57:55"
"97",,"شاومي 1بلس","شاشه","2024-10-29 21:59:49","2024-10-29 21:59:49"
"98",,"رلمي نوت 10","جهاز","2024-10-29 22:00:24","2024-10-29 22:00:24"
"99",,"a21  جهاز","شاشه p30lite","2024-10-29 22:01:39","2024-10-29 22:01:39"
"100",,"تبع رزق","بورده اندرويد","2024-10-29 22:02:48","2024-10-29 22:02:48"
"101",,"ايفون x هوسينج","2بورده a10s","2024-10-29 22:13:14","2024-10-29 22:13:14"
"102",,"ايفون11","شاشه","2024-10-29 22:16:23","2024-10-29 22:16:23"
"103",,"ايفون","شلدات","2024-10-29 22:17:18","2024-10-29 22:17:18"
"104",,"بورده icloud","not 20 ultra","2024-10-29 22:19:08","2024-10-29 22:19:08"
