"id","company","model","content","created_at","updated_at"
"58","SAMSUNG","NOTE8","شاشه + سماعه + فيبرشان","2024-10-26 22:38:05","2024-10-26 22:38:05"
"59","SAMSUNG","N 900","فريم + فيبرشان","2024-10-26 22:38:54","2024-10-26 22:38:54"
"60","SAMSUNG","NOTE5","فريم","2024-10-26 23:20:59","2024-10-26 23:20:59"
"61","SAMSUNG","A70","شاشه بافريم","2024-10-26 23:23:51","2024-10-26 23:23:51"
"62","SAMSUNG","A51","مديل + ربط + شحن + باغه + بيت خط","2024-10-27 00:50:49","2024-10-27 00:50:49"
"63","SAMSUNG","G935","شاشه بالفريم2 + ضهر2","2024-10-27 01:00:48","2024-10-27 01:56:44"
"64","SAMSUNG","NOTE9","شاشه بفريم + فلاته شحن + سماعه","2024-10-27 01:02:14","2024-10-27 01:02:14"
"65","SAMSUNG","J3","فريم2","2024-10-27 01:02:44","2024-10-27 01:02:44"
"66","SAMSUNG","A30","ضهر2 + عدسه + بصمه + شاشه بفريم","2024-10-27 01:04:36","2024-10-27 01:04:36"
"67","SAMSUNG","AJ400","كامل بدون شاشه و بطريه","2024-10-27 01:06:27","2024-10-27 01:06:27"
"68","SAMSUNG","NOTE5","كحلي","2024-10-27 01:15:14","2024-10-27 01:15:14"
"69","SAMSUNG","NOTE8","باك + فريم + كامره","2024-10-27 01:16:20","2024-10-27 01:16:20"
"70","SAMSUNG","lg 500","شاشه بفريم + بورده","2024-10-27 01:17:36","2024-10-27 01:17:36"
"71","SAMSUNG","NG 10C","فلاته شحن + بورده + هوسينج","2024-10-27 01:19:03","2024-10-27 01:19:03"
"72","SAMSUNG","J110","كامل بدون بطاريه","2024-10-27 01:20:08","2024-10-27 01:20:08"
"73","SAMSUNG","G935","فريم بلشاشه + كاميره + ضهر","2024-10-27 01:22:27","2024-10-27 01:22:27"
"74","SAMSUNG","G935","شاشه بفريم + فلاته شحن","2024-10-27 01:23:26","2024-10-27 01:23:26"
"75","SAMSUNG","G955","شاشه بفريم","2024-10-27 01:24:20","2024-10-27 01:24:20"
"76","SAMSUNG","M30","باك +عدسه","2024-10-27 01:25:20","2024-10-27 01:57:44"
"77","SAMSUNG","NY005","شاشه بفريم","2024-10-27 01:27:03","2024-10-27 01:27:03"
"78","SAMSUNG","J320","بورده + هوسينج","2024-10-27 01:28:02","2024-10-27 01:28:02"
"79","SAMSUNG","NY008","كامل بدون بطاريه و باك","2024-10-27 01:29:12","2024-10-27 01:56:24"
"80","SAMSUNG","J730","فريم + بيت خط","2024-10-27 01:30:00","2024-10-27 01:30:00"
"81","SAMSUNG","NY005","هوسينج","2024-10-27 01:31:07","2024-10-27 01:31:07"
"82","SAMSUNG","A500F","بطاريه + بورده + هوسينج","2024-10-27 01:32:06","2024-10-27 01:32:06"
"83","SAMSUNG","A70","باك + كاميره + فريم","2024-10-27 01:33:17","2024-10-27 01:33:17"
"84","SAMSUNG","مش عارف","فريم","2024-10-27 01:33:41","2024-10-27 01:33:41"
"85","SAMSUNG","G532F","بورده + هوسينج","2024-10-27 01:34:51","2024-10-27 01:34:51"
"86","SAMSUNG","G9201","بورده + فريم + فرام شاشه","2024-10-27 01:36:20","2024-10-27 01:36:20"
"87","SAMSUNG","J400F","شاشه + هوسينج","2024-10-27 01:37:09","2024-10-27 01:37:09"
"88","SAMSUNG","G935","فلاته شحن + شاشه بفريم","2024-10-27 01:40:59","2024-10-27 01:40:59"
"89","SAMSUNG","G935","قلم + هاوسينج","2024-10-27 01:42:23","2024-10-27 01:56:04"
"90","SAMSUNG","S8+","باك + هاوسينج","2024-10-27 01:43:48","2024-10-27 01:55:40"
"91","SAMSUNG","S10","شاشه بفريم","2024-10-27 01:52:26","2024-10-27 01:52:26"
